"측정일자","권역명","측정소명","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"20211103","도심권","중구","41","24","0.018","0.034","0.6","0.004"
"20211103","도심권","종로구","41","27","0.021","0.031","0.6","0.003"
"20211103","도심권","용산구","41","28","0.015","0.032","0.5","0.003"
"20211103","서북권","은평구","42","28","0.018","0.026","0.9","0.003"
"20211103","서북권","서대문구","41","28","0.02","0.021","0.7","0.005"
"20211103","서북권","마포구","39","25","0.02","0.034","0.5","0.003"
"20211103","동북권","광진구","43","27","0.016","0.027","0.6","0.003"
"20211103","동북권","성동구","43","23","0.018","0.041","0.6","0.004"
"20211103","동북권","중랑구","42","25","0.024","0.029","0.6","0.003"
"20211103","동북권","동대문구","41","27","0.022","0.033","0.6","0.003"
"20211103","동북권","성북구","41","25","0.021","0.032","0.7","0.003"
"20211103","동북권","도봉구","41","26","0.023","0.02","0.7","0.003"
"20211103","동북권","강북구","41","25","0.027","0.018","0.5","0.003"
"20211103","동북권","노원구","41","29","0.021","0.027","0.6","0.003"
"20211103","서남권","강서구","48","29","0.018","0.032","0.7","0.006"
"20211103","서남권","구로구","49","26","0.022","0.031","0.5","0.003"
"20211103","서남권","영등포구","43","27","0.018","0.035","0.4","0.003"
"20211103","서남권","동작구","44","27","0.022","0.032","0.5","0.003"
"20211103","서남권","관악구","39","26","0.021","0.038","0.7","0.003"
"20211103","서남권","금천구","43","29","0.013","0.042","0.6","0.005"
"20211103","서남권","양천구","46","31","0.017","0.034","0.6","0.004"
"20211103","동남권","강남구","42","26","0.016","0.034","0.6","0.003"
"20211103","동남권","서초구","42","31","0.017","0.036","0.6","0.003"
"20211103","동남권","송파구","45","29","0.011","0.042","0.7","0.003"
"20211103","동남권","강동구","44","29","0.013","0.032","0.5","0.003"
"20211102","도심권","중구","39","25","0.021","0.027","0.6","0.003"
"20211102","도심권","종로구","38","26","0.022","0.026","0.7","0.003"
"20211102","도심권","용산구","41","29","0.019","0.028","0.5","0.003"
"20211102","서북권","은평구","36","27","0.021","0.018","1","0.003"
"20211102","서북권","서대문구","36","26","0.021","0.018","0.7","0.005"
